date,rows,valid_prob,up20,up25,up30,up35,up40,up42_5,up45,up50,up55,up60,mean_up,median_up,max_up
2026-06-02,93,93,15,9,7,3,2,1,0,0,0,0,17.964838470200966,16.178175231597898,43.366209225885655
2026-06-03,93,93,11,8,4,1,0,0,0,0,0,0,17.182019987593886,16.17922215000252,39.867053810229606
2026-06-04,93,93,17,10,7,3,1,0,0,0,0,0,19.377003696389245,17.661666948457476,41.97009833325039
2026-06-05,93,93,12,9,3,1,0,0,0,0,0,0,18.01786094688574,17.20641701478875,36.11391647242434
2026-06-08,93,93,37,3,0,0,0,0,0,0,0,0,19.085837301709997,18.747241034462984,26.102114995806357
2026-06-09,93,93,76,12,5,0,0,0,0,0,0,0,22.390718242651396,22.05466695313836,33.684808379636635
2026-06-10,93,93,55,7,0,0,0,0,0,0,0,0,20.72547618165351,20.92669487872624,26.522154575165047
2026-06-11,93,93,46,1,0,0,0,0,0,0,0,0,20.10564328635318,19.83034483501517,26.071251797429028
2026-06-12,93,93,93,14,7,2,0,0,0,0,0,0,23.53636392593326,22.615464766927055,39.15220118399429
2026-06-15,93,93,26,11,5,2,0,0,0,0,0,0,19.49180459261876,18.195873381746587,38.86187560356093
2026-06-16,93,93,19,11,6,1,0,0,0,0,0,0,18.064628745681652,16.37131814896034,36.929981537633495
2026-06-17,93,93,17,8,3,1,0,0,0,0,0,0,17.336624007921422,15.92583551098514,35.90946408491004
2026-06-18,92,92,18,10,4,0,0,0,0,0,0,0,17.40954035359813,15.452057764605918,33.810843355967776
2026-06-22,93,93,16,11,5,2,0,0,0,0,0,0,17.445011143047108,15.372267809437815,37.98445596815517
2026-06-23,92,92,20,9,4,2,1,1,0,0,0,0,19.563162582918547,18.4199600192692,42.850045175288976
2026-06-24,92,92,56,11,1,0,0,0,0,0,0,0,21.26322434563422,21.192020738506496,33.63189358409113
2026-06-25,92,92,32,9,6,1,0,0,0,0,0,0,20.069574628781556,18.879326368326588,37.43380250546179
2026-06-26,92,92,65,8,7,2,0,0,0,0,0,0,21.761468559934965,20.780766060034246,38.254680777233936
2026-06-29,92,92,92,92,92,51,7,5,1,0,0,0,35.76832205713089,35.15801614333377,45.60560828753019
2026-06-30,92,92,92,92,92,42,7,6,2,0,0,0,35.415952783852575,34.73723192092676,46.0578353163113
2026-07-01,92,92,92,92,92,24,9,3,1,0,0,0,35.01718368872051,34.13485470172186,46.81257497178643
2026-07-02,92,92,92,92,92,86,15,7,3,0,0,0,37.784807805697604,36.94107776327975,48.66996331465005
2026-07-06,92,92,92,92,40,7,1,0,0,0,0,0,30.655404901571018,29.611131174487504,41.23996541350942
2026-07-07,92,92,92,92,92,34,1,0,0,0,0,0,34.73392788463074,34.62164746375639,42.17464946737656
2026-07-08,92,92,92,92,85,8,0,0,0,0,0,0,32.66989709531031,32.936660696735956,36.98256319280382
2026-07-09,92,92,92,92,78,8,0,0,0,0,0,0,32.14768240606102,31.900582816520156,37.36798754466589
2026-07-10,92,92,92,92,89,27,2,0,0,0,0,0,34.12092263195074,34.005172436648465,40.22724045596195
2026-07-13,92,92,92,92,92,88,20,5,0,0,0,0,38.434018806492894,38.15506879166365,44.898633008573874
2026-07-14,92,92,92,92,75,0,0,0,0,0,0,0,31.862837995780943,32.16153791332091,34.954115538461444
2026-07-15,92,92,92,92,85,28,0,0,0,0,0,0,33.52846935584126,33.4813549021342,39.49231501902156
2026-07-16,92,92,92,92,21,0,0,0,0,0,0,0,28.956937139578955,28.954039951658743,31.90368049709853
2026-07-17,92,92,92,92,26,0,0,0,0,0,0,0,29.19958816042175,28.950745484113952,32.84812100436107
2026-07-21,92,92,92,85,0,0,0,0,0,0,0,0,26.68259913709149,26.829797593442755,29.22043479901691
2026-07-22,92,92,92,72,0,0,0,0,0,0,0,0,25.9951494343633,26.023530978706745,28.7398118434822
2026-07-23,92,92,92,92,6,0,0,0,0,0,0,0,28.564428346378183,28.621057211196344,30.39239021708329
2026-07-24,92,92,92,92,77,0,0,0,0,0,0,0,31.596516662514762,31.883487295469585,33.95488117228142
2026-07-27,92,92,92,92,73,0,0,0,0,0,0,0,30.787532125919007,30.920904236312232,33.50126046108456
